"category","repository","url","description","access","research_snapshot","platforms","platform_notes","platform_source","platform_checked_at","stars","last_pushed_at","metadata_checked_at"
"Color grading, DCTLs, film looks, and color science","thatcherfreeman/utility-dctls","https://github.com/thatcherfreeman/utility-dctls","Extensive creative and technical tools for exposure, contrast, saturation, diagnostics, and image effects.","Free","2026-09-06","Windows;macOS","","https://github.com/thatcherfreeman/utility-dctls#readme","2026-09-06","412","2026-09-01T04:56:29Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","baldavenger/DCTLs","https://github.com/baldavenger/DCTLs","Technical transforms, charts, noise, convolution, and grading utilities.","Free","2026-09-06","Unverified","","https://github.com/baldavenger/DCTLs#readme","2026-09-06","350","2023-12-06T00:59:40Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","baldavenger/ACES_DCTL","https://github.com/baldavenger/ACES_DCTL","ACES color transforms implemented as DCTLs for Resolve Studio.","Free","2026-09-06","Unverified","","https://github.com/baldavenger/ACES_DCTL#readme","2026-09-06","73","2021-08-30T18:35:33Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","Demystify-Color/DCTLs","https://github.com/Demystify-Color/DCTLs","DCTL tools and examples accompanying color-science tutorials; useful for learning and customization.","Free","2026-09-06","Unverified","","https://github.com/Demystify-Color/DCTLs#readme","2026-09-06","159","2026-05-22T14:27:14Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","xtremestuff/resolve-dctl","https://github.com/xtremestuff/resolve-dctl","Technical and utility DCTL library.","Public","2026-09-06","Windows;macOS;Linux;iPadOS","","https://github.com/xtremestuff/resolve-dctl#readme","2026-09-06","161","2026-04-10T07:30:35Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","xtremestuff/protune-transforms","https://github.com/xtremestuff/protune-transforms","GoPro Protune and GP-Log transforms for managed color workflows.","Public","2026-09-06","Windows;macOS;Linux;iPadOS","iPad workflow restrictions vary with Resolve version.","https://github.com/xtremestuff/protune-transforms#readme","2026-09-06","176","2026-05-24T01:22:53Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","xtremestuff/resolve-aces","https://github.com/xtremestuff/resolve-aces","Custom ACES input and output transforms.","Public","2026-09-06","Windows;macOS;Linux;iPadOS","iPad requires Resolve 18.6.2 or newer.","https://github.com/xtremestuff/resolve-aces#readme","2026-09-06","22","2023-10-25T03:29:30Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","MoazElgabry/DCTLs","https://github.com/MoazElgabry/DCTLs","Look-development tools including filmic contrast, ratio shaping, localized contrast, and hue controls.","Free","2026-09-06","Windows;macOS","","https://github.com/MoazElgabry/DCTLs#readme","2026-09-06","66","2026-06-13T14:17:54Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","hotgluebanjo/TetraInterp-DCTL","https://github.com/hotgluebanjo/TetraInterp-DCTL","Tetrahedral-interpolation-based color manipulation.","Public","2026-09-06","Unverified","","https://github.com/hotgluebanjo/TetraInterp-DCTL#readme","2026-09-06","78","2024-08-23T02:02:36Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","npeason/Tetra-DCTLOFX","https://github.com/npeason/Tetra-DCTLOFX","Tetrahedral color manipulation through Resolve’s DCTL effect interface.","Free","2026-09-06","Unverified","","https://github.com/npeason/Tetra-DCTLOFX#readme","2026-09-06","197","2021-03-13T19:39:17Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","sobotka/AgX-Resolve","https://github.com/sobotka/AgX-Resolve","AgX picture-formation/display transform for Resolve—not simply a film-look LUT.","Public","2026-09-06","Unverified","","https://github.com/sobotka/AgX-Resolve#readme","2026-09-06","110","2024-11-25T02:35:25Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","jedypod/open-display-transform","https://github.com/jedypod/open-display-transform","Scene-linear, wide-gamut image rendering for SDR/HDR; includes Resolve Studio DCTLs.","Free","2026-09-06","Unverified","","https://github.com/jedypod/open-display-transform#readme","2026-09-06","517","2026-02-09T21:40:50Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","jedypod/gamut-compress","https://github.com/jedypod/gamut-compress","Out-of-gamut color handling; includes DCTL and Fusion implementations.","Public","2026-09-06","Unverified","","https://github.com/jedypod/gamut-compress#readme","2026-09-06","110","2022-05-27T17:07:00Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","mikaelsundell/photographic-dctls","https://github.com/mikaelsundell/photographic-dctls","Photographic color-science experiments involving LogC, Cineon, negative inversion, and tone/color transforms.","Public","2026-09-06","Windows;macOS","","https://github.com/mikaelsundell/photographic-dctls#readme","2026-09-06","78","2026-06-05T10:41:37Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","Wavechaser/NamiColor","https://github.com/Wavechaser/NamiColor","Linearizes film scans and aligns channels for scene-referred grading. Studio required.","Free","2026-09-06","Windows;macOS","","https://github.com/Wavechaser/NamiColor#readme","2026-09-06","122","2024-05-12T19:05:36Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","fabiocolor/Faded-Balancer-DCTL","https://github.com/fabiocolor/Faded-Balancer-DCTL","Rebalances faded film scans.","Public","2026-09-06","Windows;macOS","","https://github.com/fabiocolor/Faded-Balancer-DCTL#readme","2026-09-06","22","2026-07-11T17:48:21Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","caryknoop/DCTL","https://github.com/caryknoop/DCTL","Diagnostic tools for marking and analyzing image changes through nodes.","Free","2026-09-06","Unverified","","https://github.com/caryknoop/DCTL#readme","2026-09-06","30","2025-01-15T04:53:47Z","2026-09-06T11:20:45Z"
"Color grading, DCTLs, film looks, and color science","jai-panjwani/DCTLS","https://github.com/jai-panjwani/DCTLS","Additional Resolve DCTL scripts.","Public","2026-09-06","Unverified","","https://github.com/jai-panjwani/DCTLS#readme","2026-09-06","22","2024-10-05T06:39:53Z","2026-09-06T11:20:45Z"
